,host_since,host_response_rate,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating
19388,20170918.0,0.0,-33.875218965466736,151.20115145999358,3.0,1.0,1.0,2.0,190.0,400.0,60.0,1.0,6.0,2.0,1125.0,4.0,60.0
19389,20140122.0,0.0,-33.94425094529916,151.25547564613015,4.0,1.0,2.0,2.0,119.0,0.0,35.0,1.0,0.0,2.0,1125.0,1.0,100.0
19390,20140527.0,1.0,-33.876562617109336,151.21783958885334,4.0,2.0,2.0,2.0,500.0,500.0,253.0,1.0,0.0,90.0,270.0,0.0,0.0
19391,20170918.0,1.0,-33.919299756110284,151.03431145643145,2.0,1.0,1.0,2.0,85.0,150.0,0.0,2.0,0.0,1.0,1125.0,23.0,91.0
19392,20140117.0,0.0,-33.905734058198064,151.26607399602096,8.0,2.0,4.0,5.0,781.0,800.0,200.0,1.0,0.0,2.0,1125.0,0.0,0.0
19393,20111119.0,0.0,-33.89659121678597,151.18302714889668,2.0,1.0,0.0,1.0,65.0,0.0,18.0,1.0,0.0,2.0,1125.0,1.0,100.0
19394,20170806.0,1.0,-33.822493893024436,151.20358481008267,2.0,1.0,1.0,1.0,40.0,150.0,40.0,2.0,60.0,1.0,10.0,18.0,88.0
19395,20160402.0,0.0,-33.75939413325666,150.989626361072,2.0,1.0,1.0,1.0,90.0,0.0,0.0,1.0,0.0,5.0,7.0,0.0,0.0
19396,20161206.0,0.0,-33.88676591631861,151.2663680432043,1.0,1.0,1.0,1.0,55.0,0.0,0.0,1.0,0.0,1.0,1125.0,0.0,0.0
19397,20170918.0,1.0,-33.885826688252976,151.17966410009575,7.0,2.0,2.0,5.0,259.0,200.0,99.0,4.0,0.0,2.0,1000.0,7.0,91.0
19398,20170918.0,1.0,-33.71529133607874,151.03433449096985,2.0,1.0,1.0,1.0,80.0,0.0,0.0,2.0,30.0,1.0,7.0,21.0,98.0
19399,20170918.0,1.0,-33.91140126857574,151.1989094678827,2.0,1.0,1.0,1.0,98.0,133.0,0.0,1.0,0.0,1.0,1125.0,9.0,100.0
