,price
11062,399.0
2389,158.0
9310,200.0
10376,129.0
6974,170.0
19006,400.0
6271,450.0
20053,750.0
25831,129.0
120,290.0
1919,495.0
17084,89.0
20902,70.0
29565,100.0
6001,170.0
17994,181.0
10477,150.0
5120,220.0
8279,38.0
27001,50.0
26623,54.0
21549,119.0
8074,30.0
18238,78.0
5475,330.0
3084,280.0
17384,301.0
27987,600.0
28880,399.0
26436,421.0
30339,200.0
18016,57.0
15761,90.0
26669,177.0
27251,121.0
5594,94.0
25110,283.0
4376,69.0
745,178.0
15307,198.0
28583,612.0
27069,245.0
6364,290.0
29212,164.0
24898,345.0
22901,100.0
6296,200.0
21381,50.0
27966,160.0
26646,61.0
6401,400.0
21646,150.0
9786,129.0
23373,301.0
8198,200.0
24818,109.0
9010,150.0
22368,129.0
4767,125.0
15556,55.0
10752,849.0
20415,70.0
5506,96.0
11290,50.0
27687,144.0
20928,351.0
10946,85.0
16705,100.0
5637,125.0
13759,73.0
20066,50.0
23577,160.0
25468,129.0
7163,120.0
15791,150.0
7008,49.0
10387,94.0
23407,200.0
12597,61.0
23446,351.0
10306,94.0
11701,120.0
3416,200.0
1613,67.0
10609,550.0
2293,170.0
15152,120.0
9726,400.0
25504,295.0
23050,301.0
14501,220.0
12746,150.0
29192,500.0
5461,70.0
29009,120.0
26030,139.0
13706,400.0
20716,69.0
22463,181.0
8328,140.0
5478,75.0
24479,299.0
27362,90.0
8882,650.0
27642,100.0
28030,100.0
7459,75.0
19507,249.0
29258,179.0
29966,120.0
26291,284.0
29639,167.0
6116,330.0
21994,129.0
15725,108.0
3077,104.0
16524,111.0
9312,301.0
29246,61.0
6978,61.0
881,49.0
880,150.0
25469,67.0
21813,249.0
16082,220.0
5929,330.0
27382,146.0
353,849.0
29744,80.0
5290,480.0
772,245.0
25495,108.0
20119,301.0
9412,450.0
28701,139.0
4925,50.0
29124,111.0
13502,67.0
15498,160.0
22415,39.0
11395,150.0
23291,129.0
15830,240.0
28601,187.0
19716,125.0
2017,75.0
14252,53.0
24340,66.0
19973,61.0
20698,950.0
4289,171.0
23469,129.0
10116,133.0
11089,228.0
11956,77.0
12945,57.0
24409,231.0
12310,65.0
1524,50.0
5784,500.0
6856,98.0
24635,90.0
